	overall coverage	diphone coverage	phone coverage
0	0.00101	0.00704	0.33333
1	0.00182	0.01275	0.47222
2	0.00250	0.01750	0.51389
3	0.00294	0.02055	0.52778
4	0.00348	0.02435	0.54167
5	0.00408	0.02854	0.55556
6	0.00465	0.03253	0.58333
7	0.00516	0.03596	0.59722
8	0.00579	0.04014	0.59722
9	0.00636	0.04414	0.65278
10	0.00685	0.04756	0.65278
11	0.00737	0.05118	0.66667
12	0.00764	0.05308	0.66667
13	0.00807	0.05613	0.66667
14	0.00837	0.05822	0.68056
15	0.00870	0.06031	0.69444
16	0.00919	0.06374	0.70833
17	0.00949	0.06583	0.70833
18	0.00984	0.06830	0.72222
19	0.01025	0.07097	0.72222
20	0.01071	0.07420	0.72222
21	0.01150	0.07972	0.72222
22	0.01182	0.08200	0.72222
23	0.01212	0.08409	0.72222
24	0.01234	0.08562	0.73611
25	0.01277	0.08866	0.73611
26	0.01299	0.09018	0.73611
27	0.01340	0.09285	0.73611
28	0.01386	0.09608	0.73611
29	0.01419	0.09836	0.73611
30	0.01441	0.09989	0.73611
31	0.01470	0.10198	0.73611
32	0.01495	0.10369	0.73611
33	0.01511	0.10483	0.73611
34	0.01549	0.10750	0.73611
35	0.01574	0.10921	0.73611
36	0.01595	0.11073	0.75000
37	0.01617	0.11225	0.76389
38	0.01639	0.11377	0.76389
39	0.01653	0.11473	0.76389
40	0.01685	0.11701	0.76389
41	0.01707	0.11853	0.76389
42	0.01737	0.12062	0.76389
43	0.01772	0.12291	0.76389
44	0.01813	0.12576	0.76389
45	0.01829	0.12690	0.76389
46	0.01846	0.12785	0.76389
47	0.01881	0.13033	0.76389
48	0.01900	0.13166	0.76389
49	0.01913	0.13261	0.76389
50	0.01935	0.13413	0.76389
51	0.01957	0.13565	0.76389
52	0.01976	0.13699	0.76389
53	0.01995	0.13832	0.76389
54	0.02025	0.14041	0.76389
55	0.02049	0.14193	0.76389
56	0.02068	0.14326	0.76389
57	0.02096	0.14517	0.77778
58	0.02125	0.14669	0.77778
59	0.02142	0.14783	0.77778
60	0.02161	0.14916	0.77778
61	0.02174	0.15011	0.77778
62	0.02210	0.15240	0.77778
63	0.02223	0.15335	0.77778
64	0.02231	0.15392	0.77778
65	0.02237	0.15430	0.77778
66	0.02264	0.15563	0.77778
67	0.02286	0.15715	0.77778
68	0.02310	0.15887	0.77778
69	0.02318	0.15944	0.77778
70	0.02321	0.15963	0.77778
71	0.02340	0.16096	0.77778
72	0.02354	0.16191	0.77778
73	0.02367	0.16286	0.77778
74	0.02389	0.16438	0.77778
75	0.02403	0.16533	0.77778
76	0.02419	0.16648	0.77778
77	0.02427	0.16705	0.77778
78	0.02443	0.16819	0.77778
79	0.02471	0.17009	0.77778
80	0.02498	0.17180	0.77778
81	0.02517	0.17314	0.77778
82	0.02525	0.17371	0.77778
83	0.02566	0.17656	0.77778
84	0.02577	0.17713	0.77778
85	0.02590	0.17808	0.77778
86	0.02607	0.17903	0.77778
87	0.02620	0.17998	0.77778
88	0.02661	0.18265	0.77778
89	0.02683	0.18417	0.77778
